Age,Balance,NumOfProducts,Exited,ChurnRiskScore,RiskCategory
42,0.0,1,1,64.5,Medium Risk
41,83807.86,1,0,12.0,Low Risk
42,159660.8,3,1,98.0,High Risk
39,0.0,2,0,0.5,Low Risk
43,125510.82,1,0,7.000000000000001,Low Risk
44,113755.78,2,1,69.5,Medium Risk
50,0.0,2,0,6.0,Low Risk
29,115046.74,4,1,97.0,High Risk
44,142051.07,2,0,28.499999999999996,Low Risk
27,134603.88,1,0,5.5,Low Risk
31,102016.72,2,0,2.5,Low Risk
24,0.0,2,0,0.5,Low Risk
34,0.0,2,0,1.0,Low Risk
25,0.0,2,0,2.5,Low Risk
35,0.0,2,0,2.5,Low Risk
45,143129.41,2,0,6.0,Low Risk
58,132602.88,1,1,97.0,High Risk
24,0.0,2,0,3.5000000000000004,Low Risk
45,0.0,1,0,20.0,Low Risk
24,0.0,2,0,0.5,Low Risk
41,0.0,2,0,1.0,Low Risk
32,0.0,2,0,2.0,Low Risk
38,0.0,1,1,28.999999999999996,Low Risk
46,0.0,2,0,1.0,Low Risk
38,0.0,1,0,8.0,Low Risk
25,0.0,2,0,0.0,
36,136815.64,1,0,6.5,Low Risk
44,0.0,2,0,11.0,Low Risk
43,141349.43,1,0,6.5,Low Risk
29,59697.17,2,0,7.000000000000001,Low Risk
39,0.0,3,1,48.0,Medium Risk
36,85311.7,1,0,2.5,Low Risk
41,110112.54,2,0,7.000000000000001,Low Risk
42,0.0,2,0,1.0,Low Risk
29,0.0,2,0,0.0,
45,134264.04,1,1,86.5,High Risk
31,145260.23,1,0,0.0,
33,76548.6,1,0,0.0,
36,0.0,1,0,8.5,Low Risk
41,70349.48,2,0,3.5000000000000004,Low Risk
40,0.0,1,0,11.5,Low Risk
51,122522.32,1,1,72.5,High Risk
61,117419.35,1,0,10.0,Low Risk
49,131394.56,1,1,55.50000000000001,Medium Risk
61,155931.11,1,0,30.0,Low Risk
32,109421.13,2,0,1.0,Low Risk
27,112045.67,1,1,75.0,High Risk
39,137843.8,1,1,77.0,High Risk
38,103391.38,1,0,6.0,Low Risk
37,103769.22,2,0,10.0,Low Risk
44,116363.37,2,0,14.499999999999998,Low Risk
36,146050.97,2,0,2.5,Low Risk
33,0.0,2,0,0.0,
41,125561.97,1,1,77.0,High Risk
42,98495.72,1,1,55.50000000000001,Medium Risk
43,125211.92,1,0,9.5,Low Risk
45,127864.4,1,0,9.0,Low Risk
19,75888.2,1,0,10.0,Low Risk
66,0.0,1,1,88.0,High Risk
51,40685.92,1,0,10.5,Low Risk
35,136857.0,1,0,12.5,Low Risk
27,152328.88,2,0,2.5,Low Risk
33,56084.69,2,0,2.0,Low Risk
56,78707.16,1,0,10.0,Low Risk
26,109166.37,1,0,4.0,Low Risk
36,169831.46,2,0,6.0,Low Risk
34,101633.04,1,0,16.0,Low Risk
43,123180.01,2,0,7.000000000000001,Low Risk
35,150725.53,2,0,0.5,Low Risk
21,98373.26,1,0,14.499999999999998,Low Risk
58,133745.44,4,1,90.0,High Risk
29,0.0,1,0,22.5,Low Risk
37,163607.18,1,0,4.0,Low Risk
25,157780.84,2,0,2.0,Low Risk
36,0.0,2,0,0.5,Low Risk
21,178718.19,2,0,5.5,Low Risk
55,0.0,2,0,0.0,
32,0.0,1,0,1.5,Low Risk
33,77253.22,1,0,8.5,Low Risk
41,122189.66,2,0,14.499999999999998,Low Risk
34,96645.54,2,0,4.5,Low Risk
32,0.0,1,1,75.0,High Risk
36,0.0,2,0,2.5,Low Risk
34,90307.62,1,0,9.0,Low Risk
46,0.0,2,0,11.5,Low Risk
75,0.0,2,0,3.5000000000000004,Low Risk
22,121681.82,1,1,65.5,Medium Risk
30,0.0,2,0,0.0,
46,0.0,3,1,93.0,High Risk
28,81623.67,2,0,3.0,Low Risk
44,0.0,3,1,91.0,High Risk
45,118626.55,2,0,9.5,Low Risk
36,0.0,2,0,4.5,Low Risk
29,0.0,2,0,0.0,
42,0.0,2,0,0.5,Low Risk
35,176273.95,1,0,7.000000000000001,Low Risk
41,102827.44,1,0,3.5000000000000004,Low Risk
29,97086.4,2,0,11.5,Low Risk
22,0.0,2,0,0.5,Low Risk
34,0.0,2,0,2.5,Low Risk
40,0.0,1,0,6.5,Low Risk
44,0.0,2,0,7.5,Low Risk
31,82674.15,1,0,0.5,Low Risk
36,0.0,2,0,0.5,Low Risk
65,0.0,1,1,16.0,Low Risk
46,107073.27,2,1,76.5,High Risk
32,88938.62,1,0,4.0,Low Risk
36,99806.85,1,0,12.5,Low Risk
33,150092.8,1,0,3.0,Low Risk
35,92833.89,1,1,77.5,High Risk
30,90536.81,1,0,2.5,Low Risk
39,108055.1,2,0,3.0,Low Risk
42,100238.35,1,0,7.000000000000001,Low Risk
36,106190.55,1,0,3.5000000000000004,Low Risk
28,154475.54,2,1,66.0,Medium Risk
30,132351.29,2,0,1.0,Low Risk
37,167864.4,1,0,11.0,Low Risk
41,0.0,2,0,1.0,Low Risk
31,107818.63,1,1,89.5,High Risk
34,185173.81,2,0,4.5,Low Risk
34,129433.34,2,0,2.5,Low Risk
39,120193.42,1,0,1.5,Low Risk
39,0.0,2,0,0.0,
48,126384.42,1,0,36.0,Low Risk
28,0.0,1,0,6.0,Low Risk
42,152603.45,1,1,78.5,High Risk
52,0.0,1,1,87.5,High Risk
